#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_normals n_plane t_plane t_normals_feature t_annot
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_69/room_3/complete_cloud.pcd 4331055 979579 787350 431225 1.27148 0.600176 0.213687 15.517 8 125.66 1.48064 0.198471
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_71/room_3/complete_cloud.pcd 4320174 1000590 802532 394057 1.16046 0.679223 0.118392 15.9374 9 133.669 1.30457 0.178282
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_74/room_3/complete_cloud.pcd 4230636 966919 754404 353653 1.19986 0.699538 0.124076 14.9184 9 125.773 1.20051 0.187108
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_77/room_4/complete_cloud.pcd 4004122 958326 748934 402025 1.2046 0.59988 0.110541 14.5767 7 105.946 1.37054 0.1341
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_79/room_2/complete_cloud.pcd 4123753 910096 725487 341041 1.15465 0.739895 0.104427 14.3492 8 107.895 1.2163 0.177489
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_81/room_2/complete_cloud.pcd 4432224 1029226 818763 345676 1.16816 0.782471 0.129858 16.4668 10 135.675 1.17759 0.202401
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_82/room_3/complete_cloud.pcd 4411490 1018143 823450 358712 1.40024 0.628335 0.260038 16.4917 10 134.636 1.21669 0.178336
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_84/room_3/complete_cloud.pcd 4431435 1010718 794261 355685 1.30757 0.748983 0.124676 17.1916 9 129.307 1.21702 0.263549
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_88/room_3/complete_cloud.pcd 4262780 942839 757654 383041 1.23168 0.588545 0.121359 15.7746 7 104.588 1.30724 0.189239
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_90/room_3/complete_cloud.pcd 4225983 928244 730638 338401 1.37377 0.745387 0.108808 14.393 9 117.315 1.17616 0.211265
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_92/room_3/complete_cloud.pcd 4163218 908452 705794 361108 1.23564 0.712722 0.135443 14.2173 7 98.1321 1.27095 0.181676
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_100/room_3/complete_cloud.pcd 4365323 1007919 799595 447411 1.42579 0.621571 0.271272 16.8493 7 116.644 1.65696 0.188009
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_102/room_3/complete_cloud.pcd 4349391 1000891 774399 386968 1.42294 0.765168 0.124551 16.1801 7 106.727 1.42134 0.209744
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_104/room_3/complete_cloud.pcd 4341724 974195 782890 413527 1.25134 0.770412 0.137546 16.5713 7 108.834 1.54076 0.206422
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_94/room_3/complete_cloud.pcd 4370985 973739 779809 442084 1.22099 0.611188 0.125201 16.5982 7 113.295 1.57193 0.212374
