#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_normals n_plane t_plane
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_34/room_2/complete_cloud.pcd 4345083 978534 816880 656702 4.68008 1.20515 0.236965 33.7264 11 369.347
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_36/room_3/complete_cloud.pcd 4340865 965566 809858 638853 3.04321 1.21393 0.222541 33.5935 11 373.342
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_38/room_2/complete_cloud.pcd 4323786 979123 807706 642957 2.50869 1.20131 0.22402 33.6692 11 380.719
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_39/room_3/complete_cloud.pcd 4336813 916528 768146 619620 2.02532 1.1907 0.212963 39.434 10 366.869
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_41/room_3/complete_cloud.pcd 4311336 954254 809321 674926 1.67195 1.18356 0.22124 37.0237 9 387.428
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_43/room_3/complete_cloud.pcd 4302974 984880 827432 662678 1.59824 1.20633 0.237622 40.874 11 397.881
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_45/room_2/complete_cloud.pcd 4355374 964677 820340 651337 1.64076 1.53558 0.229784 40.2227 11 395.288
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_47/room_3/complete_cloud.pcd 4376040 967763 831525 772037 2.21712 1.72892 0.244272 38.9632 3 170.164
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_49/room_3/complete_cloud.pcd 4365226 994683 846622 673250 1.93342 1.24521 0.24621 39.9586 11 393.473
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_51/room_3/complete_cloud.pcd 4289105 966928 793796 625673 1.80248 1.01313 0.222639 28.614 11 332.231
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_53/room_3/complete_cloud.pcd 4266217 950594 792294 623443 2.06358 1.19137 0.262826 31.0827 11 360.399
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_55/room_3/complete_cloud.pcd 4363095 1004530 845672 666705 2.09212 1.23336 0.24306 35.1643 11 388.941
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_57/room_3/complete_cloud.pcd 4285369 472641 399837 389866 1.81694 1.31901 0.109909 8.17444 2 60.4679
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_59/room_3/complete_cloud.pcd 4286468 494970 407235 357654 2.10079 0.926805 0.115808 8.23086 7 154.705
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_61/room_3/complete_cloud.pcd 4336816 487440 405757 340268 2.02797 1.07322 0.117673 8.09688 7 149.83
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_63/room_3/complete_cloud.pcd 4385347 499444 418977 388805 2.21538 1.1197 0.114681 8.34136 5 122.219
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_67/room_3/complete_cloud.pcd 4354059 483739 400919 322076 2.13274 1.10039 0.116192 7.92729 10 186.228
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_69/room_3/complete_cloud.pcd 4331055 483651 404013 358745 2.30292 1.17142 0.143834 11.0119 5 122.246
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_71/room_3/complete_cloud.pcd 4320174 492817 411984 367087 2.15049 1.50863 0.119685 8.95485 6 146.538
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_74/room_3/complete_cloud.pcd 4230636 478707 393211 376381 1.83648 1.0609 0.114411 8.86462 2 61.2832
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_77/room_4/complete_cloud.pcd 4004122 474858 389054 363711 2.29125 1.04759 0.110322 8.71958 2 60.3176
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_79/room_2/complete_cloud.pcd 4123753 444530 364837 308024 2.46294 1.18337 0.107939 9.1876 7 142.176
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_81/room_2/complete_cloud.pcd 4432224 507076 420506 361825 3.21161 1.10626 0.122847 9.21207 7 165.189
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_82/room_3/complete_cloud.pcd 4411490 501382 415368 354938 2.03225 1.21025 0.0579238 7.48608 7 144.848
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_84/room_3/complete_cloud.pcd 4431435 497345 408878 364400 2.38093 1.01233 0.12046 9.65242 7 143.699
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_88/room_3/complete_cloud.pcd 4262780 461405 385415 322661 2.37932 1.31193 0.109418 7.45322 8 147.43
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_90/room_3/complete_cloud.pcd 4225983 458732 381458 330073 2.44279 0.904882 0.121351 7.74512 6 129.989
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_92/room_3/complete_cloud.pcd 4163218 448677 368957 309212 2.69674 1.07197 0.110805 7.82165 7 141.534
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_100/room_3/complete_cloud.pcd 4365323 499948 413201 341455 2.18562 1.11865 0.124672 9.33481 7 160.677
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_102/room_3/complete_cloud.pcd 4349391 496981 400664 380089 2.35288 1.1108 0.118386 8.59757 2 62.3743
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_104/room_3/complete_cloud.pcd 4341724 478585 403162 328382 2.27775 1.10637 0.118614 9.02023 9 194.85
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_94/room_3/complete_cloud.pcd 4370985 474784 393814 338818 2.16935 1.11552 0.119429 8.94271 5 108.691
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_96/room_2/complete_cloud.pcd 4409262 486471 406470 374645 1.67409 1.10095 0.1171 8.34845 4 101.94
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_98/room_3/complete_cloud.pcd 4390261 491148 406811 373624 2.51016 1.13838 0.126594 10.8783 4 104.19
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_110/room_2/complete_cloud.pcd 4445985 521169 432519 346611 2.26809 1.35224 0.152191 10.0077 9 204.752
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_114/room_1/complete_cloud.pcd 4444169 507448 415155 336364 2.2444 1.23192 0.121945 9.74927 10 201.136
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_116/room_2/complete_cloud.pcd 4452197 504862 414618 351248 2.5858 1.15201 0.123477 10.2189 8 191.797
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_118/room_2/complete_cloud.pcd 4444445 504052 416511 382708 9.66537 1.30707 0.136239 13.5796 4 110.871
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_120/room_1/complete_cloud.pcd 4455102 489256 407434 365386 3.82211 1.49535 0.165873 18.5925 5 130.592
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_124/room_2/complete_cloud.pcd 4494090 503585 419948 406844 5.08652 1.45098 0.180061 19.328 3 93.3721
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_126/room_2/complete_cloud.pcd 4479194 469702 401347 376544 2.8701 1.19063 0.140648 11.5403 4 106.129
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_128/room_2/complete_cloud.pcd 4460262 497434 421147 391374 3.88799 1.5118 0.180609 13.3116 3 88.1968
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_130/room_2/complete_cloud.pcd 4435422 507347 413296 338320 1.66018 1.1183 0.122592 9.22837 8 180.628
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_132/room_1/complete_cloud.pcd 4413638 503356 411771 388285 4.30903 1.14564 0.128605 10.0779 3 87.9422
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_134/room_2/complete_cloud.pcd 4487794 473147 403656 394145 5.11779 1.20957 0.121989 9.51202 2 67.1653
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_138/room_2/complete_cloud.pcd 4436705 520602 429566 378129 3.95451 1.2219 0.135443 13.545 5 130.835
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_139/room_2/complete_cloud.pcd 4420319 481225 401989 357062 4.80859 1.14655 0.125247 10.0131 4 100.778
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_141/room_2/complete_cloud.pcd 4387533 505271 414116 370735 4.4885 1.14114 0.135147 10.334 4 106.672
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_144/room_2/complete_cloud.pcd 4480987 489416 410067 349995 4.15601 1.97793 0.122292 9.89759 7 159.143
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_146/room_2/complete_cloud.pcd 4204080 463299 377380 330117 4.5443 1.05688 0.112272 8.16704 5 111.612
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_148/room_2/complete_cloud.pcd 4456798 513460 426992 344623 4.71814 1.14829 0.126802 9.79973 10 203.79
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_150/room_2/complete_cloud.pcd 4470992 502908 418092 386550 3.33312 1.12726 0.121494 8.17883 3 79.5159
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_152/room_2/complete_cloud.pcd 4455040 484208 396030 293865 3.8906 1.11428 0.117676 8.0783 11 164.689
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_156/room_2/complete_cloud.pcd 4460562 516392 418059 381409 3.01154 0.853932 0.0695652 8.49557 3 75.0527
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_158/room_1/complete_cloud.pcd 4475629 500959 415959 315612 3.20264 0.927765 0.12017 8.89748 11 175.814
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_162/room_2/complete_cloud.pcd 4469018 493853 410369 328361 2.14163 1.12461 0.114979 8.47023 8 155.306
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_164/room_1/complete_cloud.pcd 4455309 495576 410985 313001 2.02073 1.24331 0.144192 10.1074 10 172.613
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_166/room_2/complete_cloud.pcd 4473983 515704 428378 353665 1.71479 1.24687 0.128139 8.35239 7 147.806
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_168/room_2/complete_cloud.pcd 4480880 522216 430257 345532 2.04117 1.01415 0.179095 10.1263 9 188.508
