#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_normals n_plane t_plane t_normals_feature
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_112/room_2/complete_cloud.pcd 4446419 499494 396165 222835 1.97861 1.0903 4.59525 9.24136 6 107.563 1.15797
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_114/room_1/complete_cloud.pcd 4444169 507448 385022 237610 2.0851 1.10232 2.25912 8.62127 5 95.0344 1.24432
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_116/room_2/complete_cloud.pcd 4452197 504862 377581 280171 1.92634 1.12919 2.39538 8.52203 4 84.3495 1.52939
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_118/room_2/complete_cloud.pcd 4444445 504052 378999 299285 1.95446 1.08967 3.16306 7.23006 3 62.7167 1.81905
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_120/room_1/complete_cloud.pcd 4455102 489256 368107 235284 1.95259 0.752024 6.64064 7.12801 5 80.9742 0.421762
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_124/room_2/complete_cloud.pcd 4494090 503585 395669 240647 1.11762 0.424096 1.42907 2.86829 6 38.8131 0.422944
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_126/room_2/complete_cloud.pcd 4479194 469702 364659 273465 0.964328 0.410654 3.14045 2.82448 4 28.509 0.502014
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_128/room_2/complete_cloud.pcd 4460262 497434 386795 219110 1.01487 0.424495 1.59322 2.84785 6 36.0874 0.379565
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_130/room_2/complete_cloud.pcd 4435422 507347 373583 211482 0.952379 0.409482 1.46274 2.70644 6 34.8973 0.363045
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_132/room_1/complete_cloud.pcd 4413638 503356 374976 214959 1.0799 0.419119 1.65192 2.75277 6 34.9965 0.374212
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_134/room_2/complete_cloud.pcd 4487794 473147 369349 211942 0.964871 0.431052 4.65244 2.59047 6 34.688 0.3657
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_138/room_2/complete_cloud.pcd 4436705 520602 392572 251332 1.02034 0.422013 0.746733 2.93006 5 33.8239 0.442293
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_139/room_2/complete_cloud.pcd 4420319 481225 370286 205951 1.00351 0.41834 1.32392 2.73348 7 40.2039 0.351436
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_141/room_2/complete_cloud.pcd 4387533 505271 379077 203227 1.01069 0.420606 1.07506 2.90703 6 34.6379 0.355763
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_144/room_2/complete_cloud.pcd 4480987 489416 385630 265381 0.998492 0.422096 1.14834 2.97672 4 28.2175 0.476859
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_146/room_2/complete_cloud.pcd 4204080 463299 342353 177840 0.971491 0.396695 1.18148 2.46519 6 33.2895 0.891858
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_148/room_2/complete_cloud.pcd 4456798 513460 388404 197349 1.86031 1.09197 2.13333 8.91867 6 94.6529 0.989367
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_150/room_2/complete_cloud.pcd 4470992 502908 377889 191488 1.71729 1.09622 2.27618 7.76945 6 91.5154 0.990331
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_152/room_2/complete_cloud.pcd 4455040 484208 369008 183425 1.85447 1.10683 2.56695 7.50602 6 89.4427 0.942939
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_156/room_2/complete_cloud.pcd 4460562 516392 383683 220487 1.88698 1.13263 1.99095 8.02737 5 82.6742 1.16517
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_158/room_1/complete_cloud.pcd 4475629 500959 380354 194771 1.69589 0.949334 2.04563 6.97991 6 86.1696 1.10904
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_162/room_2/complete_cloud.pcd 4469018 493853 375136 189585 2.23589 1.08672 3.97229 7.67476 6 81.0181 0.991697
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_166/room_2/complete_cloud.pcd 4473983 515704 388931 194056 1.78586 0.956694 2.96643 7.45597 6 83.3451 1.22093
