#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_normals t_normals_feature n_plane t_plane
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_39/room_3/complete_cloud.pcd 4336813 916528 768146 560999 1.35093 0.66487 0.196593 3.8576 1.74449 5 151.787
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_41/room_3/complete_cloud.pcd 4311336 954254 809321 572563 1.37461 1.12257 0.196034 4.42431 1.82661 6 201.416
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_43/room_3/complete_cloud.pcd 4302974 984880 827432 510976 1.31812 1.12198 0.116846 4.19253 1.88467 9 222.501
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_45/room_2/complete_cloud.pcd 4355374 964677 820340 659824 1.36613 1.0815 0.114625 4.35208 2.5529 4 127.723
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_47/room_3/complete_cloud.pcd 4376040 967763 831525 555029 1.36219 1.0994 0.203743 4.56106 1.87645 7 258.345
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_49/room_3/complete_cloud.pcd 4365226 994683 846622 541854 1.04581 1.25034 0.241679 4.5959 1.97341 8 286.051
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_51/room_3/complete_cloud.pcd 4289105 966928 793796 535636 1.36611 1.09504 0.197525 4.49545 1.80172 6 133.083
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_53/room_3/complete_cloud.pcd 4266217 950594 792294 510649 1.36257 1.072 0.186575 4.87017 1.44058 7 217.546
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_55/room_3/complete_cloud.pcd 4363095 1004530 845672 550674 1.36429 1.14977 0.210759 4.65487 1.93116 7 188.488
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_57/room_3/complete_cloud.pcd 4285369 472641 399837 325795 1.26772 1.41936 0.127573 1.1682 0.800307 4 77.9812
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_59/room_3/complete_cloud.pcd 4286468 494970 407235 339125 1.41387 1.03143 0.112218 1.40255 0.80393 3 46.665
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_61/room_3/complete_cloud.pcd 4336816 487440 405757 359700 1.17066 1.06981 0.11253 1.24061 0.912945 2 57.0367
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_63/room_3/complete_cloud.pcd 4385347 499444 418977 377304 1.31429 1.09593 0.12014 1.48008 0.746978 2 26.9638
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_67/room_3/complete_cloud.pcd 4354059 483739 400919 361230 1.41849 1.03516 0.111861 1.28949 0.96259 2 38.965
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_69/room_3/complete_cloud.pcd 4331055 483651 404013 349778 1.44725 0.966171 0.0696772 1.13807 0.794563 3 70.445
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_71/room_3/complete_cloud.pcd 4320174 492817 411984 376232 1.40021 0.571784 0.105461 1.65144 0.87286 2 57.0953
